quote_id,quote_date,customer_id,channel,policy_type,premium_quoted,converted_flag
Q0000042,2026-08-01,CUST-004259,app,1_day,52.86,0
Q0000043,2026-08-01,CUST-001989,partner_referral,1_week,18.17,1
Q0000044,2026-08-01,CUST-004546,app,1_day,46.84,1
Q0000045,2026-08-01,CUST-004520,partner_referral,1_week,135.27,0
Q0000046,2026-08-01,CUST-004113,price_comparison,3_month,130.78,1
Q0000047,2026-08-01,CUST-005347,direct_web,1_day,38.09,0
Q0000048,2026-08-01,CUST-005272,price_comparison,1_month,36.44,1
Q0000049,2026-08-01,CUST-003955,app,1_day,65.68,1
Q0000050,2026-08-01,CUST-000750,direct_web,1_day,92.9,1
Q0000051,2026-08-01,CUST-004675,direct_web,3_month,131.84,1
Q0000052,2026-08-01,CUST-000090,app,1_month,59.69,0
Q0000053,2026-08-01,CUST-002703,partner_referral,1_month,130.83,0
Q0000054,2026-08-01,CUST-004308,direct_web,1_week,17.55,1
Q0000055,2026-08-02,CUST-005277,price_comparison,1_week,99.36,1
Q0000056,2026-08-02,CUST-002521,app,1_day,45.2,1
Q0000057,2026-08-02,CUST-007025,partner_referral,1_week,87.84,0
Q0000058,2026-08-02,CUST-003162,direct_web,1_day,120.9,0
Q0000059,2026-08-02,CUST-000777,price_comparison,1_week,58.21,1
Q0000060,2026-08-02,CUST-006104,partner_referral,1_month,51.62,0
Q0000061,2026-08-02,CUST-000409,price_comparison,3_month,80.49,0
Q0000062,2026-08-02,CUST-008126,partner_referral,1_week,60.02,0
Q0000063,2026-08-02,CUST-007369,price_comparison,1_month,138.78,0
Q0000064,2026-08-02,CUST-002592,direct_web,1_week,107.35,0
Q0000065,2026-08-02,CUST-001413,partner_referral,1_week,132.76,0
Q0000066,2026-08-02,CUST-003975,partner_referral,3_month,31.07,1
Q0000067,2026-08-02,CUST-005957,app,1_day,138.98,1
Q0000068,2026-08-02,CUST-000841,price_comparison,1_day,74.84,1
Q0000069,2026-08-02,CUST-008297,app,1_month,82.66,0
Q0000070,2026-08-02,CUST-008314,app,3_month,42.91,0
Q0000071,2026-08-02,CUST-000069,app,1_month,113.28,0
Q0000072,2026-08-02,CUST-005195,price_comparison,1_day,144.15,0
Q0000073,2026-08-02,CUST-003310,partner_referral,1_week,89.48,0
Q0000074,2026-08-02,CUST-005577,app,3_month,121.23,0
Q0000075,2026-08-02,CUST-006271,app,3_month,133.69,0
Q0000076,2026-08-02,CUST-000397,partner_referral,3_month,136.12,0
Q0000077,2026-08-02,CUST-006744,price_comparison,1_week,15.48,1
Q0000078,2026-08-02,CUST-008228,price_comparison,1_week,85.61,0
Q0000079,2026-08-02,CUST-007156,price_comparison,1_day,76.16,1
Q0000080,2026-08-02,CUST-008525,app,1_month,38.4,0
Q0000081,2026-08-02,CUST-008552,price_comparison,1_day,31.93,0
Q0000082,2026-08-02,CUST-007043,direct_web,3_month,109.74,0
Q0000083,2026-08-02,CUST-003105,price_comparison,1_day,30.91,0
Q0000084,2026-08-02,CUST-000101,partner_referral,1_day,107.06,1
Q0000085,2026-08-02,CUST-004648,direct_web,1_month,25.41,0
Q0000086,2026-08-02,CUST-002937,direct_web,1_month,38.7,0
Q0000087,2026-08-02,CUST-002643,app,1_month,67.17,0
Q0000088,2026-08-02,CUST-005482,direct_web,1_day,50.9,0
Q0000089,2026-08-02,CUST-005015,price_comparison,1_week,29.32,1
Q0000090,2026-08-02,CUST-003372,direct_web,1_month,70.44,0
Q0000091,2026-08-02,CUST-004567,app,1_day,42.93,0
Q0000092,2026-08-02,CUST-003403,partner_referral,1_week,31.54,0
Q0000093,2026-08-02,CUST-006191,partner_referral,3_month,42.12,0
Q0000094,2026-08-02,CUST-000496,direct_web,1_day,123.86,1
Q0000095,2026-08-02,CUST-002579,price_comparison,3_month,55.41,1
Q0000096,2026-08-02,CUST-004880,app,3_month,142.96,1
Q0000097,2026-08-02,CUST-004076,app,1_day,28.97,0
Q0000098,2026-08-02,CUST-005951,app,1_week,103.35,1
Q0000099,2026-08-02,CUST-006286,direct_web,3_month,19.39,0
Q0000100,2026-08-02,CUST-001074,direct_web,3_month,38.0,0
Q0000101,2026-08-02,CUST-002089,partner_referral,1_day,44.55,1
Q0000102,2026-08-02,CUST-007699,partner_referral,1_day,91.51,0
Q0000103,2026-08-02,CUST-002770,direct_web,3_month,93.18,0
Q0000104,2026-08-03,CUST-001907,app,3_month,24.26,0
Q0000105,2026-08-03,CUST-006771,price_comparison,3_month,20.1,1
Q0000106,2026-08-03,CUST-001311,partner_referral,1_day,50.93,0
Q0000107,2026-08-03,CUST-001149,direct_web,1_month,41.1,0
Q0000108,2026-08-03,CUST-006807,direct_web,1_month,66.57,0
Q0000109,2026-08-03,CUST-008141,partner_referral,3_month,118.01,1
Q0000110,2026-08-03,CUST-008842,app,1_day,142.55,0
Q0000111,2026-08-03,CUST-001037,partner_referral,1_month,39.53,1
Q0000112,2026-08-03,CUST-003839,app,1_week,109.45,0
Q0000113,2026-08-03,CUST-004642,direct_web,1_day,120.73,0
Q0000114,2026-08-03,CUST-003695,direct_web,1_week,128.21,1
Q0000115,2026-08-03,CUST-002103,direct_web,1_week,120.06,0
Q0000116,2026-08-03,CUST-008933,partner_referral,3_month,30.89,1
Q0000117,2026-08-03,CUST-003000,direct_web,3_month,16.74,0
Q0000118,2026-08-03,CUST-002320,app,1_month,140.47,1
Q0000119,2026-08-03,CUST-005080,partner_referral,1_day,122.68,0
Q0000120,2026-08-03,CUST-005749,price_comparison,1_day,143.11,1
Q0000121,2026-08-03,CUST-005859,partner_referral,3_month,91.8,0
Q0000122,2026-08-03,CUST-008312,price_comparison,1_month,59.99,0
Q0000123,2026-08-03,CUST-008290,price_comparison,1_week,112.1,0
Q0000124,2026-08-03,CUST-007084,direct_web,1_day,28.57,1
Q0000125,2026-08-03,CUST-004312,direct_web,1_month,118.84,0
Q0000126,2026-08-03,CUST-008023,partner_referral,1_week,52.63,0
Q0000127,2026-08-03,CUST-008899,direct_web,3_month,76.32,0
Q0000128,2026-08-03,CUST-007161,partner_referral,1_week,76.62,0
Q0000129,2026-08-03,CUST-001152,price_comparison,3_month,45.17,0
Q0000130,2026-08-03,CUST-005546,partner_referral,3_month,27.81,1
Q0000131,2026-08-03,CUST-002357,app,1_day,43.24,1
Q0000132,2026-08-03,CUST-000127,price_comparison,1_week,31.04,0
Q0000133,2026-08-03,CUST-003369,price_comparison,3_month,131.99,1
Q0000134,2026-08-03,CUST-003200,partner_referral,3_month,58.48,0
Q0000135,2026-08-03,CUST-004537,price_comparison,1_month,14.51,1
Q0000136,2026-08-03,CUST-005708,app,3_month,47.63,1
Q0000137,2026-08-03,CUST-002423,direct_web,3_month,80.44,0
Q0000138,2026-08-03,CUST-001394,app,1_month,69.65,0
Q0000139,2026-08-03,CUST-002556,partner_referral,1_month,40.47,1
Q0000140,2026-08-03,CUST-004778,app,1_day,53.79,0
Q0000141,2026-08-03,CUST-007621,price_comparison,3_month,42.55,0
Q0000142,2026-08-03,CUST-003261,price_comparison,1_day,88.01,0
Q0000143,2026-08-03,CUST-001651,app,3_month,73.56,0
Q0000144,2026-08-03,CUST-001905,app,3_month,19.49,1
Q0000145,2026-08-03,CUST-007157,partner_referral,3_month,99.89,1
Q0000146,2026-08-03,CUST-003517,direct_web,1_month,122.45,0
Q0000147,2026-08-03,CUST-006326,price_comparison,1_month,97.02,0
Q0000148,2026-08-03,CUST-007616,partner_referral,1_day,112.87,0
Q0000149,2026-08-03,CUST-005861,app,1_day,121.15,0
Q0000150,2026-08-03,CUST-004838,partner_referral,3_month,28.72,0
Q0000151,2026-08-03,CUST-004115,partner_referral,3_month,116.98,1
Q0000152,2026-08-03,CUST-006026,app,1_day,137.55,0
Q0000153,2026-08-03,CUST-000852,app,1_day,120.34,0
Q0000154,2026-08-03,CUST-002578,price_comparison,1_month,109.15,1
Q0000155,2026-08-03,CUST-004037,app,3_month,98.94,0
Q0000156,2026-08-03,CUST-000814,app,3_month,23.14,0
Q0000157,2026-08-04,CUST-008912,partner_referral,1_day,111.18,0
Q0000158,2026-08-04,CUST-008932,app,1_week,109.48,0
Q0000159,2026-08-04,CUST-008209,price_comparison,1_month,130.68,0
Q0000160,2026-08-04,CUST-005161,app,1_month,110.84,0
Q0000161,2026-08-04,CUST-008755,app,1_day,79.79,1
Q0000162,2026-08-04,CUST-007144,app,1_week,62.24,1
Q0000163,2026-08-04,CUST-006917,price_comparison,3_month,130.49,0
Q0000164,2026-08-04,CUST-007611,price_comparison,1_day,123.2,0
Q0000165,2026-08-04,CUST-007041,app,1_day,144.29,0
Q0000166,2026-08-04,CUST-003222,direct_web,3_month,69.02,1
Q0000167,2026-08-04,CUST-000215,partner_referral,3_month,117.36,0
Q0000168,2026-08-04,CUST-005671,app,3_month,24.1,0
Q0000169,2026-08-04,CUST-000569,price_comparison,1_month,38.04,0
Q0000170,2026-08-04,CUST-002419,price_comparison,1_month,76.47,1
Q0000171,2026-08-04,CUST-002746,partner_referral,3_month,87.71,0
Q0000172,2026-08-04,CUST-003445,partner_referral,1_day,33.93,0
Q0000173,2026-08-04,CUST-004315,partner_referral,1_month,144.7,0
Q0000174,2026-08-04,CUST-002639,direct_web,1_month,137.51,0
Q0000175,2026-08-04,CUST-005816,partner_referral,3_month,37.4,0
Q0000176,2026-08-04,CUST-004510,app,3_month,26.35,1
Q0000177,2026-08-04,CUST-003636,app,3_month,79.1,0
Q0000178,2026-08-04,CUST-002490,partner_referral,1_day,25.95,0
Q0000179,2026-08-04,CUST-007900,direct_web,1_week,89.41,0
Q0000180,2026-08-04,CUST-004117,price_comparison,3_month,36.63,1
Q0000181,2026-08-04,CUST-003582,app,1_month,33.17,0
Q0000182,2026-08-04,CUST-003278,partner_referral,1_month,95.18,1
Q0000183,2026-08-04,CUST-002477,partner_referral,1_day,18.75,0
Q0000184,2026-08-04,CUST-007962,partner_referral,1_day,28.03,0
Q0000185,2026-08-04,CUST-002609,direct_web,1_month,82.66,0
Q0000186,2026-08-04,CUST-002893,direct_web,1_month,102.18,1
Q0000187,2026-08-04,CUST-002708,partner_referral,1_week,88.97,0
Q0000188,2026-08-04,CUST-003990,price_comparison,1_day,80.76,0
Q0000189,2026-08-04,CUST-004553,app,1_month,128.77,0
Q0000190,2026-08-04,CUST-001399,direct_web,1_month,36.72,0
Q0000191,2026-08-04,CUST-002466,app,1_week,99.19,0
Q0000192,2026-08-04,CUST-008357,app,3_month,24.08,0
Q0000193,2026-08-04,CUST-000683,partner_referral,3_month,60.94,1
Q0000194,2026-08-05,CUST-002133,direct_web,3_month,103.13,0
Q0000195,2026-08-05,CUST-007869,price_comparison,1_day,132.7,1
Q0000196,2026-08-05,CUST-001582,direct_web,1_month,135.08,1
Q0000197,2026-08-05,CUST-005204,direct_web,3_month,64.1,1
Q0000198,2026-08-05,CUST-004487,app,1_month,135.63,0
Q0000199,2026-08-05,CUST-003641,app,1_week,48.22,0
Q0000200,2026-08-05,CUST-007627,app,1_week,67.06,0
Q0000201,2026-08-05,CUST-002841,partner_referral,1_week,16.69,0
Q0000202,2026-08-05,CUST-000440,app,3_month,45.96,0
Q0000203,2026-08-05,CUST-002907,direct_web,1_month,70.34,0
Q0000204,2026-08-05,CUST-004021,app,1_day,135.71,1
Q0000205,2026-08-05,CUST-000167,direct_web,1_day,100.54,0
Q0000206,2026-08-05,CUST-008198,partner_referral,1_week,99.78,0
Q0000207,2026-08-05,CUST-002859,app,1_day,120.94,1
Q0000208,2026-08-05,CUST-001196,direct_web,1_day,86.6,0
Q0000209,2026-08-05,CUST-007494,partner_referral,3_month,117.95,0
Q0000210,2026-08-05,CUST-002110,partner_referral,1_day,43.07,0
Q0000211,2026-08-05,CUST-008714,price_comparison,1_day,140.25,0
Q0000212,2026-08-05,CUST-001150,partner_referral,1_day,134.87,1
Q0000213,2026-08-05,CUST-004296,partner_referral,1_month,81.84,1
Q0000214,2026-08-05,CUST-001279,app,3_month,25.08,0
Q0000215,2026-08-05,CUST-002314,price_comparison,3_month,33.01,0
Q0000216,2026-08-05,CUST-003246,partner_referral,1_day,68.44,0
Q0000217,2026-08-05,CUST-004089,partner_referral,1_month,19.15,0
Q0000218,2026-08-05,CUST-001971,partner_referral,1_week,64.65,0
Q0000219,2026-08-05,CUST-008675,direct_web,1_month,118.42,1
Q0000220,2026-08-05,CUST-002701,partner_referral,1_week,67.57,0
Q0000221,2026-08-05,CUST-006169,direct_web,1_month,22.91,0
Q0000222,2026-08-05,CUST-004149,direct_web,1_week,16.73,0
Q0000223,2026-08-05,CUST-001484,direct_web,3_month,31.91,1
Q0000224,2026-08-05,CUST-006461,app,1_day,113.97,1
Q0000225,2026-08-05,CUST-005702,app,1_day,85.87,0
Q0000226,2026-08-05,CUST-005909,direct_web,1_week,113.36,0
Q0000227,2026-08-05,CUST-008148,price_comparison,1_day,54.36,1
Q0000228,2026-08-05,CUST-001311,price_comparison,1_week,27.06,0
Q0000229,2026-08-05,CUST-004423,app,1_week,95.71,0
Q0000230,2026-08-05,CUST-007583,direct_web,1_day,16.82,0
Q0000231,2026-08-05,CUST-004491,app,1_day,13.77,0
Q0000232,2026-08-05,CUST-001986,partner_referral,1_day,20.02,0
Q0000233,2026-08-05,CUST-001879,price_comparison,3_month,117.61,1
Q0000234,2026-08-05,CUST-006819,price_comparison,3_month,96.74,0
Q0000235,2026-08-05,CUST-001221,price_comparison,1_week,39.85,0
Q0000236,2026-08-05,CUST-008556,direct_web,1_month,85.17,1
Q0000237,2026-08-05,CUST-006103,app,1_month,71.06,0
Q0000238,2026-08-05,CUST-002583,app,1_week,93.03,1
Q0000239,2026-08-05,CUST-003156,price_comparison,1_week,21.95,0
Q0000240,2026-08-05,CUST-004138,price_comparison,3_month,135.42,0
Q0000241,2026-08-06,CUST-000197,direct_web,1_month,135.63,0
Q0000242,2026-08-06,CUST-006824,direct_web,1_day,63.96,0
Q0000243,2026-08-06,CUST-005775,direct_web,1_day,32.56,1
Q0000244,2026-08-06,CUST-006425,app,1_week,107.13,0
Q0000245,2026-08-06,CUST-005336,direct_web,1_month,112.01,0
Q0000246,2026-08-06,CUST-004107,app,1_day,18.17,0
Q0000247,2026-08-06,CUST-000708,direct_web,3_month,19.35,0
Q0000248,2026-08-06,CUST-004774,price_comparison,1_day,142.96,0
Q0000249,2026-08-06,CUST-002381,partner_referral,1_month,57.34,0
Q0000250,2026-08-06,CUST-005282,partner_referral,1_week,108.16,1
Q0000251,2026-08-06,CUST-008542,price_comparison,1_month,12.96,0
Q0000252,2026-08-06,CUST-007713,partner_referral,1_week,35.57,0
Q0000253,2026-08-06,CUST-003582,partner_referral,1_week,57.41,1
Q0000254,2026-08-06,CUST-004140,price_comparison,3_month,59.8,0
Q0000255,2026-08-06,CUST-000875,partner_referral,1_week,27.47,1
Q0000256,2026-08-06,CUST-007890,app,1_week,134.41,0
Q0000257,2026-08-06,CUST-001286,direct_web,3_month,114.62,0
Q0000258,2026-08-06,CUST-006326,direct_web,3_month,33.36,0
Q0000259,2026-08-06,CUST-003412,direct_web,3_month,97.11,0
Q0000260,2026-08-06,CUST-005291,app,1_week,67.45,1
Q0000261,2026-08-06,CUST-006298,partner_referral,1_month,50.16,0
Q0000262,2026-08-06,CUST-003923,app,1_month,80.77,0
Q0000263,2026-08-06,CUST-008477,app,3_month,35.69,1
Q0000264,2026-08-06,CUST-005393,price_comparison,1_month,29.04,0
Q0000265,2026-08-06,CUST-002248,price_comparison,3_month,93.35,1
Q0000266,2026-08-06,CUST-000350,price_comparison,1_day,144.42,0
Q0000267,2026-08-06,CUST-000395,direct_web,3_month,54.16,0
Q0000268,2026-08-06,CUST-005379,app,1_month,35.51,0
Q0000269,2026-08-06,CUST-000621,partner_referral,1_day,43.5,0
Q0000270,2026-08-06,CUST-006488,app,1_month,50.26,0
Q0000271,2026-08-06,CUST-005681,partner_referral,1_week,95.47,0
Q0000272,2026-08-06,CUST-000865,partner_referral,3_month,143.16,0
Q0000273,2026-08-06,CUST-005292,app,1_month,128.66,0
Q0000274,2026-08-06,CUST-005090,partner_referral,1_day,39.2,1
Q0000275,2026-08-06,CUST-002724,direct_web,3_month,93.51,0
Q0000276,2026-08-06,CUST-005618,app,1_month,133.85,1
Q0000277,2026-08-06,CUST-007595,app,3_month,90.25,0
Q0000278,2026-08-06,CUST-007877,partner_referral,3_month,97.43,1
Q0000279,2026-08-06,CUST-002964,price_comparison,1_week,37.35,0
Q0000280,2026-08-06,CUST-000067,direct_web,1_day,139.74,0
Q0000281,2026-08-06,CUST-001120,partner_referral,1_month,85.34,1
Q0000282,2026-08-06,CUST-008133,direct_web,3_month,56.44,0
Q0000283,2026-08-06,CUST-001293,direct_web,3_month,37.0,0
Q0000284,2026-08-06,CUST-004297,app,1_day,131.05,0
Q0000285,2026-08-06,CUST-002644,partner_referral,1_month,62.46,0
Q0000286,2026-08-06,CUST-008642,direct_web,1_week,52.7,0
Q0000287,2026-08-06,CUST-000497,direct_web,3_month,56.61,1
Q0000288,2026-08-07,CUST-007400,price_comparison,1_week,29.05,0
Q0000289,2026-08-07,CUST-001974,app,1_week,93.51,0
Q0000290,2026-08-07,CUST-006279,app,1_month,116.82,0
Q0000291,2026-08-07,CUST-007169,partner_referral,1_month,90.41,0
Q0000292,2026-08-07,CUST-004670,app,1_week,71.95,1
Q0000293,2026-08-07,CUST-002163,partner_referral,3_month,95.98,1
Q0000294,2026-08-07,CUST-001588,price_comparison,1_week,138.03,0
Q0000295,2026-08-07,CUST-007776,price_comparison,3_month,130.18,0
Q0000296,2026-08-07,CUST-002525,partner_referral,3_month,31.13,0
Q0000297,2026-08-07,CUST-000756,price_comparison,1_day,36.55,0
Q0000298,2026-08-07,CUST-002768,price_comparison,1_month,121.85,0
Q0000299,2026-08-07,CUST-007737,partner_referral,1_week,35.15,0
Q0000300,2026-08-07,CUST-007900,partner_referral,1_day,80.42,0
Q0000301,2026-08-07,CUST-007729,partner_referral,1_month,86.99,0
Q0000302,2026-08-07,CUST-006814,price_comparison,3_month,48.03,0
Q0000303,2026-08-07,CUST-004456,direct_web,1_month,36.13,0
Q0000304,2026-08-07,CUST-001395,direct_web,1_week,54.01,1
Q0000305,2026-08-07,CUST-006929,app,3_month,22.16,1
Q0000306,2026-08-07,CUST-003048,app,1_week,140.56,0
Q0000307,2026-08-07,CUST-008137,direct_web,1_month,134.62,0
Q0000308,2026-08-07,CUST-005596,partner_referral,1_day,18.76,0
Q0000309,2026-08-07,CUST-002472,partner_referral,1_month,66.4,1
Q0000310,2026-08-07,CUST-003212,price_comparison,1_day,107.16,0
Q0000311,2026-08-07,CUST-002176,app,1_week,100.29,0
Q0000312,2026-08-07,CUST-006431,direct_web,3_month,73.03,0
Q0000313,2026-08-07,CUST-000874,price_comparison,1_day,40.76,0
Q0000314,2026-08-07,CUST-001239,price_comparison,3_month,31.47,1
Q0000315,2026-08-07,CUST-001390,price_comparison,3_month,122.87,0
Q0000316,2026-08-07,CUST-008729,app,1_week,85.95,0
Q0000317,2026-08-07,CUST-006919,direct_web,1_week,47.27,0
Q0000318,2026-08-07,CUST-008199,direct_web,1_day,97.41,0
Q0000319,2026-08-07,CUST-005400,price_comparison,1_month,81.8,1
Q0000320,2026-08-07,CUST-008591,price_comparison,1_day,83.38,0
Q0000321,2026-08-07,CUST-002392,app,1_day,116.05,0
Q0000322,2026-08-07,CUST-003087,partner_referral,1_month,117.1,0
Q0000323,2026-08-07,CUST-000150,direct_web,1_month,70.92,1
Q0000324,2026-08-07,CUST-004580,price_comparison,1_day,46.62,1
Q0000325,2026-08-07,CUST-006827,price_comparison,1_month,97.41,0
Q0000326,2026-08-07,CUST-003089,partner_referral,1_week,34.77,0
Q0000327,2026-08-07,CUST-004779,partner_referral,1_week,44.1,1
Q0000328,2026-08-07,CUST-003360,app,1_week,108.6,0
Q0000329,2026-08-07,CUST-002657,price_comparison,1_day,36.73,0
Q0000330,2026-08-07,CUST-005655,partner_referral,1_month,34.42,0
Q0000331,2026-08-07,CUST-007785,partner_referral,1_day,107.18,0
Q0000332,2026-08-07,CUST-002816,app,1_month,126.4,0
Q0000333,2026-08-08,CUST-000591,partner_referral,3_month,45.78,0
Q0000334,2026-08-08,CUST-002014,app,1_day,111.88,1
Q0000335,2026-08-08,CUST-004493,direct_web,1_week,79.65,0
Q0000336,2026-08-08,CUST-004639,price_comparison,1_day,94.57,0
Q0000337,2026-08-08,CUST-003255,price_comparison,3_month,103.28,0
Q0000338,2026-08-08,CUST-003951,partner_referral,1_day,80.39,0
Q0000339,2026-08-08,CUST-003141,partner_referral,1_week,51.68,1
Q0000340,2026-08-08,CUST-005853,partner_referral,3_month,88.09,1
Q0000341,2026-08-08,CUST-002227,direct_web,1_day,23.24,1
Q0000342,2026-08-08,CUST-006184,partner_referral,1_week,71.85,0
Q0000343,2026-08-08,CUST-002171,direct_web,3_month,94.74,0
Q0000344,2026-08-08,CUST-003602,price_comparison,1_month,141.63,0
Q0000345,2026-08-08,CUST-006014,partner_referral,1_month,135.77,0
Q0000346,2026-08-08,CUST-007009,partner_referral,1_week,97.52,0
Q0000347,2026-08-08,CUST-008897,app,3_month,73.16,0
Q0000348,2026-08-08,CUST-008908,app,1_month,84.63,0
Q0000349,2026-08-08,CUST-007166,app,3_month,17.99,0
Q0000350,2026-08-08,CUST-000436,direct_web,1_month,27.79,0
Q0000351,2026-08-08,CUST-002869,partner_referral,1_day,42.85,0
Q0000352,2026-08-08,CUST-008537,price_comparison,1_week,109.54,0
Q0000353,2026-08-08,CUST-000957,price_comparison,1_month,71.66,0
Q0000354,2026-08-08,CUST-006093,app,1_week,73.47,0
Q0000355,2026-08-08,CUST-008949,price_comparison,3_month,122.84,0
Q0000356,2026-08-08,CUST-001850,partner_referral,1_week,69.55,0
Q0000357,2026-08-08,CUST-008175,app,1_day,110.16,1
Q0000358,2026-08-08,CUST-003505,partner_referral,1_week,28.07,0
Q0000359,2026-08-08,CUST-002942,price_comparison,1_week,65.83,0
Q0000360,2026-08-08,CUST-002863,direct_web,1_week,117.13,0
Q0000361,2026-08-08,CUST-001440,app,3_month,98.35,0
Q0000362,2026-08-08,CUST-003633,app,1_week,30.0,1
Q0000363,2026-08-08,CUST-006962,partner_referral,1_month,70.49,0
Q0000364,2026-08-08,CUST-006760,direct_web,1_month,17.95,0
Q0000365,2026-08-08,CUST-005251,app,3_month,117.73,0
Q0000366,2026-08-08,CUST-008574,app,1_day,85.14,0
Q0000367,2026-08-08,CUST-004781,partner_referral,1_week,136.71,0
Q0000368,2026-08-08,CUST-002576,partner_referral,3_month,63.72,0
Q0000369,2026-08-08,CUST-002724,app,1_week,123.86,0
Q0000370,2026-08-08,CUST-002608,partner_referral,1_day,69.81,0
Q0000371,2026-08-08,CUST-003731,app,1_week,14.93,0
Q0000372,2026-08-08,CUST-006423,app,1_week,53.75,0
Q0000373,2026-08-08,CUST-004923,direct_web,3_month,61.98,1
Q0000374,2026-08-08,CUST-001773,price_comparison,1_day,40.49,0
Q0000375,2026-08-08,CUST-001797,app,1_month,37.78,0
Q0000376,2026-08-08,CUST-004080,price_comparison,1_month,35.28,0
Q0000377,2026-08-08,CUST-008534,price_comparison,1_week,140.74,0
Q0000378,2026-08-08,CUST-004333,partner_referral,1_week,52.24,0
Q0000379,2026-08-08,CUST-003520,partner_referral,1_month,100.89,0
Q0000380,2026-08-08,CUST-001217,app,1_month,26.45,0
Q0000381,2026-08-08,CUST-003159,direct_web,1_day,125.32,0
Q0000382,2026-08-08,CUST-002432,direct_web,1_week,39.83,0
Q0000383,2026-08-08,CUST-000641,app,1_week,90.74,0
Q0000384,2026-08-08,CUST-002919,app,1_month,76.41,0
Q0000385,2026-08-09,CUST-002390,partner_referral,1_day,141.14,0
Q0000386,2026-08-09,CUST-007436,app,3_month,79.38,1
Q0000387,2026-08-09,CUST-002889,partner_referral,1_week,117.84,0
Q0000388,2026-08-09,CUST-007779,direct_web,1_week,118.81,0
Q0000389,2026-08-09,CUST-007843,app,1_month,124.11,0
Q0000390,2026-08-09,CUST-001541,app,1_month,64.01,0
Q0000391,2026-08-09,CUST-007485,app,1_week,114.37,0
Q0000392,2026-08-09,CUST-001780,app,3_month,83.73,0
Q0000393,2026-08-09,CUST-008639,price_comparison,1_month,88.17,0
Q0000394,2026-08-09,CUST-008784,price_comparison,1_month,38.36,0
Q0000395,2026-08-09,CUST-001222,price_comparison,1_day,33.8,0
Q0000396,2026-08-09,CUST-008883,app,1_day,73.27,0
Q0000397,2026-08-09,CUST-008172,price_comparison,1_day,87.43,0
Q0000398,2026-08-09,CUST-002594,partner_referral,1_month,95.15,0
Q0000399,2026-08-09,CUST-003085,direct_web,1_week,88.6,0
Q0000400,2026-08-09,CUST-002379,app,1_day,20.2,0
Q0000401,2026-08-09,CUST-003980,app,1_week,119.83,0
