policy_id,bind_date,quote_id,customer_id,policy_type,premium_amount,panel_insurer_id,partner_id
POL0000084,2026-08-06,Q0000260,CUST-005291,1_week,67.45,INS-005,
POL0000085,2026-08-06,Q0000263,CUST-008477,3_month,35.69,INS-003,
POL0000086,2026-08-06,Q0000265,CUST-002248,3_month,93.35,INS-005,
POL0000087,2026-08-06,Q0000274,CUST-005090,1_day,39.2,INS-007,PARTNER-067
POL0000088,2026-08-06,Q0000276,CUST-005618,1_month,133.85,INS-003,
POL0000089,2026-08-06,Q0000278,CUST-007877,3_month,97.43,INS-006,
POL0000090,2026-08-06,Q0000281,CUST-001120,1_month,85.34,INS-002,
POL0000091,2026-08-06,Q0000287,CUST-000497,3_month,56.61,INS-004,PARTNER-058
POL0000092,2026-08-07,Q0000292,CUST-004670,1_week,71.95,INS-002,
POL0000093,2026-08-07,Q0000293,CUST-002163,3_month,95.98,INS-003,PARTNER-015
POL0000094,2026-08-07,Q0000304,CUST-001395,1_week,54.01,INS-005,
POL0000095,2026-08-07,Q0000305,CUST-006929,3_month,22.16,INS-005,
POL0000096,2026-08-07,Q0000309,CUST-002472,1_month,66.4,INS-001,PARTNER-013
POL0000097,2026-08-07,Q0000314,CUST-001239,3_month,31.47,INS-006,
POL0000098,2026-08-07,Q0000319,CUST-005400,1_month,81.8,INS-003,
POL0000099,2026-08-07,Q0000323,CUST-000150,1_month,70.92,INS-007,PARTNER-027
POL0000100,2026-08-07,Q0000324,CUST-004580,1_day,46.62,INS-005,PARTNER-075
POL0000101,2026-08-07,Q0000327,CUST-004779,1_week,44.1,INS-001,
POL0000102,2026-08-08,Q0000334,CUST-002014,1_day,111.88,INS-007,
POL0000103,2026-08-08,Q0000339,CUST-003141,1_week,51.68,INS-007,
POL0000104,2026-08-08,Q0000340,CUST-005853,3_month,88.09,INS-006,PARTNER-032
POL0000105,2026-08-08,Q0000341,CUST-002227,1_day,23.24,INS-002,
POL0000106,2026-08-08,Q0000357,CUST-008175,1_day,110.16,INS-004,PARTNER-024
POL0000107,2026-08-08,Q0000362,CUST-003633,1_week,30.0,INS-004,
POL0000108,2026-08-08,Q0000373,CUST-004923,3_month,61.98,INS-007,
POL0000109,2026-08-09,Q0000386,CUST-007436,3_month,79.38,INS-007,
POL0000110,2026-08-09,Q0000404,CUST-004556,1_month,110.4,INS-002,
POL0000111,2026-08-09,Q0000406,CUST-000462,1_month,81.69,INS-005,PARTNER-060
POL0000112,2026-08-09,Q0000414,CUST-006494,1_month,41.6,INS-007,PARTNER-070
POL0000113,2026-08-10,Q0000420,CUST-001689,3_month,130.55,INS-006,
POL0000114,2026-08-10,Q0000424,CUST-006655,1_day,61.3,INS-001,
POL0000115,2026-08-10,Q0000426,CUST-000418,1_week,88.18,INS-006,PARTNER-053
POL0000116,2026-08-10,Q0000427,CUST-006666,1_month,44.98,INS-002,
POL0000117,2026-08-10,Q0000433,CUST-001909,1_month,132.06,INS-003,
POL0000118,2026-08-10,Q0000437,CUST-006325,1_day,130.94,INS-007,
POL0000119,2026-08-10,Q0000441,CUST-007406,1_month,93.78,INS-001,
POL0000120,2026-08-10,Q0000442,CUST-003099,1_month,72.03,INS-004,PARTNER-080
POL0000121,2026-08-10,Q0000443,CUST-008320,1_week,29.57,INS-001,PARTNER-006
POL0000122,2026-08-10,Q0000446,CUST-004880,1_week,62.77,INS-003,
POL0000123,2026-08-10,Q0000447,CUST-008022,1_month,113.3,INS-007,
POL0000124,2026-08-10,Q0000448,CUST-007000,3_month,108.95,INS-002,
POL0000125,2026-08-10,Q0000450,CUST-000433,1_day,28.31,INS-007,PARTNER-028
POL0000126,2026-08-10,Q0000459,CUST-006394,1_week,40.93,INS-007,
POL0000127,2026-08-11,Q0000461,CUST-008919,1_month,144.71,INS-001,
POL0000128,2026-08-11,Q0000464,CUST-003851,1_month,89.12,INS-001,PARTNER-054
POL0000129,2026-08-11,Q0000467,CUST-007897,1_week,140.37,INS-003,PARTNER-034
POL0000130,2026-08-11,Q0000469,CUST-004851,1_day,80.78,INS-007,PARTNER-044
POL0000131,2026-08-11,Q0000471,CUST-003134,1_month,46.08,INS-002,PARTNER-005
POL0000132,2026-08-11,Q0000478,CUST-006169,3_month,91.75,INS-004,
POL0000133,2026-08-11,Q0000480,CUST-004173,1_week,114.34,INS-007,PARTNER-066
POL0000134,2026-08-11,Q0000482,CUST-004235,1_day,58.12,INS-007,
POL0000135,2026-08-11,Q0000483,CUST-000884,1_day,66.08,INS-007,PARTNER-046
POL0000136,2026-08-11,Q0000486,CUST-001123,1_day,132.97,INS-007,PARTNER-020
POL0000137,2026-08-11,Q0000488,CUST-007894,1_week,62.4,INS-002,
POL0000138,2026-08-11,Q0000491,CUST-005432,1_month,107.62,INS-003,PARTNER-038
POL0000139,2026-08-12,Q0000494,CUST-006627,1_week,122.23,INS-002,PARTNER-009
POL0000140,2026-08-12,Q0000499,CUST-004656,1_month,79.63,INS-007,
POL0000141,2026-08-12,Q0000514,CUST-003914,1_week,84.21,INS-004,PARTNER-066
POL0000142,2026-08-12,Q0000520,CUST-001791,3_month,33.33,INS-006,
POL0000143,2026-08-12,Q0000525,CUST-000999,3_month,63.34,INS-007,PARTNER-074
POL0000144,2026-08-12,Q0000528,CUST-006090,1_month,101.8,INS-006,
POL0000145,2026-08-13,Q0000530,CUST-003426,1_month,136.95,INS-005,
POL0000146,2026-08-13,Q0000531,CUST-004025,3_month,83.21,INS-003,PARTNER-067
POL0000147,2026-08-13,Q0000540,CUST-006654,1_day,31.26,INS-001,PARTNER-075
POL0000148,2026-08-13,Q0000544,CUST-004394,1_day,123.74,INS-006,PARTNER-079
POL0000149,2026-08-13,Q0000545,CUST-008338,1_day,62.58,INS-005,
POL0000150,2026-08-13,Q0000546,CUST-001575,3_month,36.61,INS-007,
POL0000151,2026-08-13,Q0000551,CUST-000493,1_month,71.96,INS-003,
POL0000152,2026-08-13,Q0000562,CUST-008268,3_month,81.97,INS-002,PARTNER-085
POL0000153,2026-08-13,Q0000564,CUST-005211,1_month,91.99,INS-005,
POL0000154,2026-08-14,Q0000569,CUST-005557,1_day,56.51,INS-002,PARTNER-067
POL0000155,2026-08-14,Q0000571,CUST-001985,1_day,26.13,INS-001,
POL0000156,2026-08-14,Q0000572,CUST-001110,1_week,30.75,INS-007,
POL0000157,2026-08-14,Q0000578,CUST-002692,1_day,110.36,INS-006,
POL0000158,2026-08-14,Q0000584,CUST-004779,3_month,93.68,INS-006,PARTNER-082
POL0000159,2026-08-14,Q0000585,CUST-005492,1_week,112.41,INS-002,
POL0000160,2026-08-14,Q0000588,CUST-001500,1_month,77.83,INS-004,
POL0000161,2026-08-14,Q0000589,CUST-003919,1_week,143.99,INS-001,PARTNER-045
POL0000162,2026-08-14,Q0000590,CUST-003212,1_month,33.47,INS-001,
POL0000163,2026-08-14,Q0000598,CUST-005766,1_month,71.67,INS-005,PARTNER-026
POL0000164,2026-08-14,Q0000603,CUST-000749,3_month,63.31,INS-004,
POL0000165,2026-08-14,Q0000607,CUST-008186,1_week,41.88,INS-003,
POL0000166,2026-08-15,Q0000618,CUST-006377,3_month,103.21,INS-001,
POL0000167,2026-08-15,Q0000619,CUST-005012,1_week,26.47,INS-005,
POL0000168,2026-08-15,Q0000621,CUST-004023,1_month,49.08,INS-004,
POL0000169,2026-08-15,Q0000625,CUST-000985,1_day,66.19,INS-004,
POL0000170,2026-08-15,Q0000628,CUST-000366,1_month,48.73,INS-005,
POL0000171,2026-08-15,Q0000629,CUST-008890,1_day,118.74,INS-002,PARTNER-072
POL0000172,2026-08-15,Q0000631,CUST-003991,3_month,131.44,INS-004,
POL0000173,2026-08-15,Q0000635,CUST-000489,1_week,139.33,INS-004,PARTNER-075
POL0000174,2026-08-15,Q0000637,CUST-001476,1_week,95.22,INS-001,PARTNER-062
POL0000175,2026-08-15,Q0000640,CUST-002956,1_week,51.55,INS-006,
POL0000176,2026-08-15,Q0000641,CUST-000270,1_month,15.86,INS-007,
POL0000177,2026-08-15,Q0000642,CUST-005079,1_week,109.37,INS-006,PARTNER-004
POL0000178,2026-08-16,Q0000653,CUST-007963,3_month,72.58,INS-005,
POL0000179,2026-08-16,Q0000654,CUST-006512,1_month,53.46,INS-005,PARTNER-010
POL0000180,2026-08-16,Q0000656,CUST-008841,1_week,90.99,INS-005,PARTNER-015
POL0000181,2026-08-16,Q0000657,CUST-005370,3_month,52.93,INS-007,
POL0000182,2026-08-16,Q0000658,CUST-007809,1_week,131.35,INS-005,PARTNER-017
POL0000183,2026-08-16,Q0000661,CUST-006035,1_week,98.44,INS-002,PARTNER-042
POL0000184,2026-08-16,Q0000662,CUST-006725,3_month,85.01,INS-004,
POL0000185,2026-08-16,Q0000667,CUST-003247,3_month,126.51,INS-004,
POL0000186,2026-08-16,Q0000668,CUST-008100,1_month,32.33,INS-002,PARTNER-067
POL0000187,2026-08-16,Q0000671,CUST-006154,1_week,19.08,INS-003,
POL0000188,2026-08-16,Q0000672,CUST-002411,1_month,64.33,INS-001,
POL0000189,2026-08-16,Q0000674,CUST-004773,1_month,49.63,INS-001,
POL0000190,2026-08-16,Q0000681,CUST-001836,1_week,126.41,INS-004,
POL0000191,2026-08-17,Q0000693,CUST-000271,1_day,65.4,INS-007,
POL0000192,2026-08-17,Q0000706,CUST-004956,1_month,31.34,INS-004,PARTNER-002
POL0000193,2026-08-17,Q0000710,CUST-003091,3_month,124.26,INS-001,
POL0000194,2026-08-17,Q0000712,CUST-005618,1_day,51.3,INS-001,
POL0000195,2026-08-17,Q0000714,CUST-006320,1_month,106.02,INS-004,
POL0000196,2026-08-17,Q0000718,CUST-005233,1_day,130.14,INS-001,PARTNER-079
POL0000197,2026-08-17,Q0000721,CUST-005980,1_month,124.95,INS-006,
POL0000198,2026-08-18,Q0000731,CUST-007638,3_month,96.7,INS-002,PARTNER-074
POL0000199,2026-08-18,Q0000734,CUST-006866,1_month,61.13,INS-007,
POL0000200,2026-08-18,Q0000735,CUST-002126,1_day,51.4,INS-004,
POL0000201,2026-08-18,Q0000742,CUST-007966,3_month,133.41,INS-007,
POL0000202,2026-08-18,Q0000743,CUST-000655,1_day,50.37,INS-004,PARTNER-063
POL0000203,2026-08-18,Q0000746,CUST-005308,3_month,134.97,INS-002,
POL0000204,2026-08-18,Q0000749,CUST-004623,1_month,75.66,INS-001,
POL0000205,2026-08-18,Q0000752,CUST-008916,3_month,114.11,INS-007,
POL0000206,2026-08-18,Q0000756,CUST-007818,3_month,56.23,INS-007,
POL0000207,2026-08-18,Q0000758,CUST-008834,1_month,64.98,INS-005,
POL0000208,2026-08-18,Q0000761,CUST-003731,1_month,42.06,INS-001,
POL0000209,2026-08-18,Q0000764,CUST-007609,1_week,126.42,INS-004,
POL0000210,2026-08-18,Q0000773,CUST-008405,3_month,76.64,INS-002,PARTNER-061
POL0000211,2026-08-18,Q0000775,CUST-002509,1_month,106.49,INS-005,PARTNER-053
POL0000212,2026-08-18,Q0000776,CUST-006165,1_day,83.23,INS-003,
POL0000213,2026-08-19,Q0000783,CUST-004396,1_month,54.89,INS-003,
POL0000214,2026-08-19,Q0000787,CUST-002525,1_week,56.64,INS-006,PARTNER-021
POL0000215,2026-08-19,Q0000789,CUST-003139,1_day,37.56,INS-003,
POL0000216,2026-08-19,Q0000791,CUST-004746,1_week,140.63,INS-001,
POL0000217,2026-08-19,Q0000792,CUST-007523,1_week,22.85,INS-006,
POL0000218,2026-08-19,Q0000793,CUST-004303,1_day,14.21,INS-003,
POL0000219,2026-08-19,Q0000794,CUST-002932,1_month,95.63,INS-003,
POL0000220,2026-08-19,Q0000798,CUST-002445,1_day,75.77,INS-007,
POL0000221,2026-08-19,Q0000803,CUST-008429,1_month,99.82,INS-001,
POL0000222,2026-08-19,Q0000808,CUST-003666,1_day,48.93,INS-005,PARTNER-005
POL0000223,2026-08-19,Q0000812,CUST-007178,1_day,13.68,INS-002,
POL0000224,2026-08-19,Q0000816,CUST-001141,1_day,73.8,INS-004,PARTNER-053
POL0000225,2026-08-19,Q0000825,CUST-006228,1_week,74.82,INS-001,
POL0000226,2026-08-20,Q0000829,CUST-001139,3_month,24.51,INS-004,
POL0000227,2026-08-20,Q0000837,CUST-007031,1_month,20.53,INS-005,PARTNER-015
POL0000228,2026-08-20,Q0000840,CUST-003774,1_day,25.27,INS-007,PARTNER-029
POL0000229,2026-08-20,Q0000848,CUST-000554,1_month,118.21,INS-006,
POL0000230,2026-08-20,Q0000851,CUST-008556,1_week,101.05,INS-003,
POL0000231,2026-08-20,Q0000855,CUST-007301,1_month,47.84,INS-006,
POL0000232,2026-08-20,Q0000857,CUST-000994,1_month,15.33,INS-003,
POL0000233,2026-08-20,Q0000862,CUST-002144,1_day,133.37,INS-005,
POL0000234,2026-08-20,Q0000863,CUST-007829,3_month,90.02,INS-002,
POL0000235,2026-08-21,Q0000874,CUST-006308,1_day,57.4,INS-006,PARTNER-004
POL0000236,2026-08-21,Q0000876,CUST-007199,1_day,27.83,INS-005,
POL0000237,2026-08-21,Q0000877,CUST-007734,1_day,16.95,INS-007,PARTNER-070
POL0000238,2026-08-21,Q0000886,CUST-004662,1_week,90.59,INS-005,
POL0000239,2026-08-21,Q0000890,CUST-004066,1_week,83.46,INS-006,PARTNER-028
POL0000240,2026-08-21,Q0000895,CUST-002542,1_week,142.87,INS-003,
POL0000241,2026-08-21,Q0000897,CUST-004399,1_week,35.32,INS-005,PARTNER-069
POL0000242,2026-08-21,Q0000898,CUST-006455,3_month,20.15,INS-006,
POL0000243,2026-08-21,Q0000900,CUST-001601,1_day,53.65,INS-003,PARTNER-003
POL0000244,2026-08-21,Q0000901,CUST-007958,1_day,53.48,INS-006,
POL0000245,2026-08-22,Q0000908,CUST-008113,3_month,77.78,INS-005,PARTNER-007
POL0000246,2026-08-22,Q0000912,CUST-000215,1_week,118.71,INS-005,
POL0000247,2026-08-22,Q0000920,CUST-003252,1_month,81.28,INS-004,PARTNER-053
POL0000248,2026-08-22,Q0000922,CUST-003895,1_week,137.43,INS-006,
POL0000249,2026-08-22,Q0000927,CUST-008053,3_month,15.38,INS-002,PARTNER-042
POL0000250,2026-08-22,Q0000928,CUST-008855,1_week,102.66,INS-003,
POL0000251,2026-08-22,Q0000931,CUST-003482,1_month,99.77,INS-007,PARTNER-075
POL0000252,2026-08-22,Q0000932,CUST-001311,1_week,111.06,INS-005,
POL0000253,2026-08-22,Q0000945,CUST-007455,1_month,71.55,INS-005,PARTNER-066
POL0000254,2026-08-22,Q0000946,CUST-004425,1_week,31.45,INS-006,
POL0000255,2026-08-22,Q0000949,CUST-001122,3_month,47.25,INS-007,PARTNER-053
POL0000256,2026-08-22,Q0000951,CUST-005741,1_week,102.06,INS-001,PARTNER-080
POL0000257,2026-08-23,Q0000954,CUST-008374,1_week,50.99,INS-002,
POL0000258,2026-08-23,Q0000955,CUST-003232,1_week,55.8,INS-005,PARTNER-026
POL0000259,2026-08-23,Q0000966,CUST-005919,1_week,24.02,INS-001,
POL0000260,2026-08-23,Q0000967,CUST-007885,3_month,133.59,INS-002,PARTNER-025
POL0000261,2026-08-23,Q0000970,CUST-000487,1_day,131.68,INS-006,PARTNER-084
POL0000262,2026-08-23,Q0000972,CUST-006205,1_month,62.78,INS-004,
POL0000263,2026-08-23,Q0000979,CUST-004234,1_day,133.3,INS-005,PARTNER-007
POL0000264,2026-08-23,Q0000983,CUST-007728,3_month,65.91,INS-003,
POL0000265,2026-08-23,Q0000987,CUST-001354,1_month,95.57,INS-003,PARTNER-080
POL0000266,2026-08-24,Q0000992,CUST-008097,3_month,47.6,INS-002,
POL0000267,2026-08-24,Q0000993,CUST-004113,1_month,94.98,INS-007,PARTNER-070
POL0000268,2026-08-24,Q0000994,CUST-004633,1_week,34.12,INS-004,
POL0000269,2026-08-24,Q0000995,CUST-006452,1_month,118.84,INS-006,
POL0000270,2026-08-24,Q0000996,CUST-008606,1_week,139.49,INS-007,
POL0000271,2026-08-24,Q0000998,CUST-004602,1_month,82.23,INS-005,PARTNER-047
POL0000272,2026-08-24,Q0001007,CUST-006057,1_month,118.41,INS-007,PARTNER-050
POL0000273,2026-08-24,Q0001011,CUST-002579,3_month,72.02,INS-003,
POL0000274,2026-08-24,Q0001014,CUST-008227,1_month,62.59,INS-007,PARTNER-083
POL0000275,2026-08-24,Q0001016,CUST-000512,1_week,42.46,INS-007,
POL0000276,2026-08-24,Q0001018,CUST-006123,3_month,135.96,INS-002,
POL0000277,2026-08-24,Q0001020,CUST-003392,1_day,69.67,INS-005,
POL0000278,2026-08-24,Q0001021,CUST-002453,1_day,118.72,INS-003,
POL0000279,2026-08-24,Q0001025,CUST-003691,1_day,141.3,INS-001,
POL0000280,2026-08-24,Q0001027,CUST-007336,1_day,132.08,INS-001,
POL0000281,2026-08-24,Q0001029,CUST-000147,3_month,56.04,INS-007,
POL0000282,2026-08-24,Q0001031,CUST-008210,1_day,120.11,INS-006,PARTNER-030
POL0000283,2026-08-25,Q0001034,CUST-000201,1_month,140.0,INS-005,
POL0000284,2026-08-25,Q0001039,CUST-004671,1_month,97.48,INS-002,PARTNER-058
POL0000285,2026-08-25,Q0001046,CUST-008946,1_day,32.48,INS-001,
POL0000286,2026-08-25,Q0001053,CUST-002342,3_month,57.85,INS-004,
POL0000287,2026-08-25,Q0001057,CUST-000014,1_month,68.95,INS-003,
POL0000288,2026-08-25,Q0001059,CUST-003700,1_month,33.27,INS-003,
POL0000289,2026-08-25,Q0001061,CUST-001055,1_day,16.83,INS-002,PARTNER-004
POL0000290,2026-08-25,Q0001067,CUST-002427,1_week,98.43,INS-006,
POL0000291,2026-08-25,Q0001069,CUST-001569,1_day,109.63,INS-002,
POL0000292,2026-08-25,Q0001070,CUST-006465,1_week,13.26,INS-002,PARTNER-075
POL0000293,2026-08-26,Q0001073,CUST-001000,1_week,13.35,INS-002,PARTNER-036
POL0000294,2026-08-26,Q0001076,CUST-002051,1_week,84.04,INS-002,
POL0000295,2026-08-26,Q0001081,CUST-008331,1_month,52.51,INS-007,
POL0000296,2026-08-26,Q0001084,CUST-002165,1_week,95.84,INS-004,PARTNER-066
POL0000297,2026-08-26,Q0001085,CUST-000859,1_week,31.87,INS-002,
POL0000298,2026-08-26,Q0001087,CUST-008144,1_month,106.14,INS-006,PARTNER-044
POL0000299,2026-08-26,Q0001092,CUST-003521,1_week,117.34,INS-003,PARTNER-005
POL0000300,2026-08-26,Q0001095,CUST-005907,1_day,102.07,INS-004,PARTNER-020
POL0000301,2026-08-26,Q0001096,CUST-008881,1_week,47.72,INS-003,
POL0000302,2026-08-26,Q0001104,CUST-001687,1_week,136.96,INS-007,
POL0000303,2026-08-27,Q0001105,CUST-001231,1_month,102.46,INS-002,PARTNER-084
POL0000304,2026-08-27,Q0001109,CUST-006659,1_week,138.24,INS-003,
POL0000305,2026-08-27,Q0001111,CUST-007734,1_day,118.67,INS-004,
POL0000306,2026-08-27,Q0001116,CUST-004371,1_week,26.56,INS-006,
POL0000307,2026-08-27,Q0001118,CUST-001009,3_month,116.63,INS-006,
POL0000308,2026-08-27,Q0001120,CUST-005415,1_week,93.92,INS-006,PARTNER-035
POL0000309,2026-08-27,Q0001122,CUST-002783,3_month,28.05,INS-004,PARTNER-036
POL0000310,2026-08-27,Q0001128,CUST-008450,3_month,28.03,INS-007,
POL0000311,2026-08-27,Q0001129,CUST-003434,3_month,83.77,INS-003,PARTNER-014
POL0000312,2026-08-27,Q0001133,CUST-003351,3_month,28.88,INS-006,PARTNER-018
POL0000313,2026-08-27,Q0001145,CUST-008275,3_month,28.16,INS-004,PARTNER-022
POL0000314,2026-08-28,Q0001148,CUST-000523,3_month,27.75,INS-006,
POL0000315,2026-08-28,Q0001157,CUST-008507,3_month,59.29,INS-001,
POL0000316,2026-08-28,Q0001159,CUST-001929,1_month,132.52,INS-004,PARTNER-045
POL0000317,2026-08-28,Q0001162,CUST-005056,1_week,106.21,INS-007,PARTNER-031
POL0000318,2026-08-28,Q0001166,CUST-007490,1_month,26.1,INS-006,PARTNER-069
POL0000319,2026-08-28,Q0001169,CUST-007258,1_week,66.89,INS-001,PARTNER-035
POL0000320,2026-08-28,Q0001172,CUST-000165,1_week,132.47,INS-007,PARTNER-061
POL0000321,2026-08-28,Q0001173,CUST-008700,1_week,98.36,INS-001,PARTNER-005
POL0000322,2026-08-28,Q0001177,CUST-001309,1_month,67.01,INS-005,
POL0000323,2026-08-28,Q0001178,CUST-004089,1_month,120.57,INS-005,PARTNER-034
POL0000324,2026-08-28,Q0001184,CUST-001093,1_day,83.37,INS-001,
