insurer_id,insurer_name,feed_date,panel_status,capacity_remaining_pct
INS-006,Sabre Insurance,2026-08-15,active,10.6
INS-007,ERS Temp Cover,2026-08-15,active,7.9
INS-001,Aviva Motor,2026-08-16,active,24.5
INS-002,Admiral Temp,2026-08-16,active,18.1
INS-003,LV= Short Term,2026-08-16,active,14.5
INS-004,Hastings Direct,2026-08-16,active,14.3
INS-005,Direct Line Temp,2026-08-16,active,12.7
INS-006,Sabre Insurance,2026-08-16,active,10.3
INS-007,ERS Temp Cover,2026-08-16,active,9.7
INS-001,Aviva Motor,2026-08-17,active,19.6
INS-002,Admiral Temp,2026-08-17,active,15.1
INS-003,LV= Short Term,2026-08-17,active,17.1
INS-004,Hastings Direct,2026-08-17,active,16.7
INS-005,Direct Line Temp,2026-08-17,active,12.7
INS-006,Sabre Insurance,2026-08-17,active,8.3
INS-007,ERS Temp Cover,2026-08-17,active,9.1
INS-001,Aviva Motor,2026-08-18,active,20.6
INS-002,Admiral Temp,2026-08-18,active,15.4
INS-003,LV= Short Term,2026-08-18,active,14.0
INS-004,Hastings Direct,2026-08-18,active,16.4
INS-005,Direct Line Temp,2026-08-18,active,13.5
INS-006,Sabre Insurance,2026-08-18,active,9.7
INS-007,ERS Temp Cover,2026-08-18,active,10.8
INS-001,Aviva Motor,2026-08-19,active,20.7
INS-002,Admiral Temp,2026-08-19,active,20.6
INS-003,LV= Short Term,2026-08-19,active,13.9
INS-004,Hastings Direct,2026-08-19,active,11.8
INS-005,Direct Line Temp,2026-08-19,active,14.3
INS-006,Sabre Insurance,2026-08-19,active,12.3
INS-007,ERS Temp Cover,2026-08-19,active,8.6
INS-001,Aviva Motor,2026-08-20,active,19.3
INS-002,Admiral Temp,2026-08-20,active,17.3
INS-003,LV= Short Term,2026-08-20,active,12.1
INS-004,Hastings Direct,2026-08-20,active,15.6
INS-005,Direct Line Temp,2026-08-20,active,13.6
INS-006,Sabre Insurance,2026-08-20,active,12.7
INS-007,ERS Temp Cover,2026-08-20,active,9.3
INS-001,Aviva Motor,2026-08-21,active,20.9
INS-002,Admiral Temp,2026-08-21,active,18.9
INS-003,LV= Short Term,2026-08-21,active,16.2
INS-004,Hastings Direct,2026-08-21,active,12.9
INS-005,Direct Line Temp,2026-08-21,active,11.8
INS-006,Sabre Insurance,2026-08-21,active,8.9
INS-007,ERS Temp Cover,2026-08-21,active,7.9
INS-001,Aviva Motor,2026-08-22,active,21.9
INS-002,Admiral Temp,2026-08-22,active,16.6
INS-003,LV= Short Term,2026-08-22,active,16.2
INS-004,Hastings Direct,2026-08-22,active,16.8
INS-005,Direct Line Temp,2026-08-22,active,11.3
INS-006,Sabre Insurance,2026-08-22,active,9.8
INS-007,ERS Temp Cover,2026-08-22,active,7.8
INS-001,Aviva Motor,2026-08-23,active,19.9
INS-002,Admiral Temp,2026-08-23,active,20.8
INS-003,LV= Short Term,2026-08-23,active,12.7
INS-004,Hastings Direct,2026-08-23,active,12.0
INS-005,Direct Line Temp,2026-08-23,active,10.4
INS-006,Sabre Insurance,2026-08-23,active,10.6
INS-007,ERS Temp Cover,2026-08-23,active,8.4
INS-001,Aviva Motor,2026-08-24,active,19.1
INS-002,Admiral Temp,2026-08-24,active,19.9
INS-003,LV= Short Term,2026-08-24,active,17.0
INS-004,Hastings Direct,2026-08-24,active,12.5
INS-005,Direct Line Temp,2026-08-24,active,14.8
INS-006,Sabre Insurance,2026-08-24,active,11.6
INS-007,ERS Temp Cover,2026-08-24,active,8.4
INS-001,Aviva Motor,2026-08-25,active,19.9
INS-002,Admiral Temp,2026-08-25,active,20.1
INS-003,LV= Short Term,2026-08-25,active,12.8
INS-004,Hastings Direct,2026-08-25,active,12.6
INS-005,Direct Line Temp,2026-08-25,active,12.4
INS-006,Sabre Insurance,2026-08-25,active,8.6
INS-007,ERS Temp Cover,2026-08-25,active,6.2
INS-001,Aviva Motor,2026-08-26,active,24.9
INS-002,Admiral Temp,2026-08-26,active,19.2
INS-003,LV= Short Term,2026-08-26,active,14.7
INS-004,Hastings Direct,2026-08-26,active,13.5
INS-005,Direct Line Temp,2026-08-26,active,13.4
INS-006,Sabre Insurance,2026-08-26,active,8.0
INS-007,ERS Temp Cover,2026-08-26,active,8.1
INS-001,Aviva Motor,2026-08-27,active,21.7
INS-002,Admiral Temp,2026-08-27,active,15.3
INS-003,LV= Short Term,2026-08-27,active,16.7
INS-004,Hastings Direct,2026-08-27,active,14.8
INS-005,Direct Line Temp,2026-08-27,active,9.1
INS-006,Sabre Insurance,2026-08-27,active,7.8
INS-007,ERS Temp Cover,2026-08-27,active,9.6
INS-001,Aviva Motor,2026-08-28,active,24.3
INS-002,Admiral Temp,2026-08-28,active,19.0
INS-003,LV= Short Term,2026-08-28,active,15.8
INS-004,Hastings Direct,2026-08-28,active,13.4
INS-005,Direct Line Temp,2026-08-28,active,12.2
INS-006,Sabre Insurance,2026-08-28,active,8.2
INS-007,ERS Temp Cover,2026-08-28,active,9.0
INS-001,Aviva Motor,2026-08-29,active,21.2
INS-002,Admiral Temp,2026-08-29,active,17.0
INS-003,LV= Short Term,2026-08-29,active,17.3
INS-004,Hastings Direct,2026-08-29,active,11.3
INS-005,Direct Line Temp,2026-08-29,active,10.2
INS-006,Sabre Insurance,2026-08-29,active,12.2
INS-007,ERS Temp Cover,2026-08-29,active,11.1
INS-001,Aviva Motor,2026-08-30,active,21.0
INS-002,Admiral Temp,2026-08-30,active,20.1
INS-003,LV= Short Term,2026-08-30,active,16.4
INS-004,Hastings Direct,2026-08-30,active,11.7
INS-005,Direct Line Temp,2026-08-30,active,14.8
INS-006,Sabre Insurance,2026-08-30,active,7.7
INS-007,ERS Temp Cover,2026-08-30,active,10.7
INS-001,Aviva Motor,2026-08-31,active,23.5
INS-002,Admiral Temp,2026-08-31,active,19.8
INS-003,LV= Short Term,2026-08-31,active,16.1
INS-004,Hastings Direct,2026-08-31,active,12.2
INS-005,Direct Line Temp,2026-08-31,active,12.0
INS-006,Sabre Insurance,2026-08-31,active,12.4
INS-007,ERS Temp Cover,2026-08-31,active,6.4
INS-001,Aviva Motor,2026-09-01,active,23.5
INS-002,Admiral Temp,2026-09-01,active,19.3
INS-003,LV= Short Term,2026-09-01,active,13.5
INS-004,Hastings Direct,2026-09-01,active,14.1
INS-005,Direct Line Temp,2026-09-01,active,11.4
INS-006,Sabre Insurance,2026-09-01,active,8.6
INS-007,ERS Temp Cover,2026-09-01,active,9.6
INS-001,Aviva Motor,2026-09-02,active,20.9
INS-002,Admiral Temp,2026-09-02,active,18.5
INS-003,LV= Short Term,2026-09-02,active,15.1
INS-004,Hastings Direct,2026-09-02,active,15.5
INS-005,Direct Line Temp,2026-09-02,active,9.6
INS-006,Sabre Insurance,2026-09-02,active,11.5
INS-007,ERS Temp Cover,2026-09-02,active,9.2
INS-001,Aviva Motor,2026-09-03,active,24.6
INS-002,Admiral Temp,2026-09-03,active,18.7
INS-003,LV= Short Term,2026-09-03,active,16.1
INS-004,Hastings Direct,2026-09-03,active,14.6
INS-005,Direct Line Temp,2026-09-03,active,14.9
INS-006,Sabre Insurance,2026-09-03,active,10.7
INS-007,ERS Temp Cover,2026-09-03,active,7.6
INS-001,Aviva Motor,2026-09-04,active,21.7
INS-002,Admiral Temp,2026-09-04,active,16.3
INS-003,LV= Short Term,2026-09-04,active,13.9
INS-004,Hastings Direct,2026-09-04,active,13.2
INS-005,Direct Line Temp,2026-09-04,active,10.3
INS-006,Sabre Insurance,2026-09-04,active,10.3
INS-007,ERS Temp Cover,2026-09-04,active,7.2
